timestamp,x,y,z,w
1523148928114232,0.0941162,0.283386,-0.744446,-0.597229
1523148928136794,0.0943604,0.28302,-0.744385,-0.597412
1523148928153337,0.0946045,0.283203,-0.744202,-0.597534
1523148928174391,0.0946045,0.283691,-0.743896,-0.597656
1523148928196951,0.0938721,0.285217,-0.743408,-0.597717
1523148928213044,0.0927734,0.286499,-0.742859,-0.5979
1523148928241619,0.0921021,0.287842,-0.74231,-0.598083
1523148928256660,0.0923462,0.288269,-0.742126,-0.598083
1523148928273200,0.0927734,0.28833,-0.741943,-0.598145
1523148928294259,0.0935059,0.288208,-0.742004,-0.598083
1523148928316817,0.09375,0.288208,-0.741943,-0.598145
1523148928333360,0.0939941,0.288025,-0.741943,-0.598206
1523148928354418,0.093811,0.287842,-0.741882,-0.598389
1523148928376980,0.0935059,0.287659,-0.741882,-0.59845
1523148928393524,0.0935059,0.28772,-0.741882,-0.59845
1523148928414076,0.0935059,0.28772,-0.741882,-0.59845
1523148928436637,0.0935059,0.287781,-0.741882,-0.59845
1523148928453179,0.0935059,0.287781,-0.741882,-0.59845
1523148928474235,0.0935059,0.287781,-0.741882,-0.59845
1523148928496795,0.09375,0.287781,-0.742004,-0.598206
1523148928514843,0.093811,0.288025,-0.742188,-0.597839
1523148928534396,0.0933228,0.287537,-0.74231,-0.598083
1523148928556956,0.0931396,0.288147,-0.742249,-0.597839
1523148928574505,0.0942993,0.287476,-0.742188,-0.598083
1523148928594056,0.0950928,0.286255,-0.742371,-0.598267
1523148928616617,0.0964355,0.286133,-0.742249,-0.598267
1523148928634664,0.0969238,0.285645,-0.74231,-0.598389
1523148928654214,0.097168,0.285645,-0.742188,-0.598511
1523148928676775,0.0970459,0.286133,-0.741943,-0.598572
1523148928694822,0.0962524,0.286987,-0.741638,-0.598633
1523148928714404,0.0946655,0.288147,-0.741333,-0.598816
1523148928736935,0.093811,0.289368,-0.740784,-0.598938
1523148928754482,0.0935669,0.289673,-0.74054,-0.599121
1523148928774034,0.0942383,0.289368,-0.740417,-0.599365
1523148928796594,0.0952148,0.288879,-0.740234,-0.599609
1523148928814643,0.0963135,0.288635,-0.73999,-0.599915
1523148928834194,0.0968018,0.288513,-0.739685,-0.60022
1523148928856753,0.0967407,0.288879,-0.739441,-0.600403
1523148928874807,0.0963135,0.289307,-0.739258,-0.600464
1523148928894354,0.0962524,0.289673,-0.739197,-0.600342
1523148928916913,0.0961304,0.2901,-0.739258,-0.600159
1523148928934461,0.0957642,0.290466,-0.739258,-0.600037
1523148928954515,0.0953369,0.290527,-0.739319,-0.599976
1523148928977077,0.0952148,0.290222,-0.739624,-0.599792
1523148928994622,0.0955811,0.289856,-0.73999,-0.599426
1523148929014174,0.0953369,0.28949,-0.740356,-0.599182
1523148929036733,0.0950317,0.287964,-0.741577,-0.59845
1523148929054787,0.0955811,0.287659,-0.741943,-0.598083
1523148929074334,0.0969238,0.286194,-0.742493,-0.5979
1523148929096894,0.0984497,0.285156,-0.742737,-0.597839
1523148929114941,0.0997925,0.284546,-0.742676,-0.597961
1523148929133992,0.100037,0.283997,-0.742798,-0.598083
1523148929156551,0.100098,0.284058,-0.742737,-0.598083
1523148929174602,0.0997314,0.284241,-0.742737,-0.598022
1523148929203187,0.0990601,0.284485,-0.742798,-0.597961
1523148929216711,0.0980835,0.285034,-0.742798,-0.5979
1523148929234762,0.0968628,0.285706,-0.742676,-0.597839
1523148929255817,0.0957031,0.286926,-0.742371,-0.5979
1523148929276873,0.0945435,0.287598,-0.741882,-0.598328
1523148929294418,0.0945435,0.288391,-0.741394,-0.598572
1523148929315475,0.0950317,0.289307,-0.740906,-0.598694
1523148929336531,0.0958862,0.290161,-0.740356,-0.598755
1523148929354579,0.0964355,0.291016,-0.739929,-0.598816
1523148929375634,0.0968628,0.292053,-0.739502,-0.598816
1523148929396690,0.0969238,0.292908,-0.739258,-0.598633
1523148929414739,0.0964355,0.293396,-0.739258,-0.59845
1523148929435796,0.095459,0.294128,-0.739197,-0.598328
1523148929456851,0.0945435,0.294983,-0.739014,-0.598328
1523148929481918,0.0939941,0.295532,-0.738892,-0.598267
1523148929496957,0.093689,0.295532,-0.738892,-0.598267
1523148929516512,0.093689,0.295105,-0.739136,-0.598267
1523148929534561,0.0941162,0.294739,-0.73938,-0.598022
